Crm Cd Desc,DATE OCC,Premis Desc,Status Desc,LAT,LON
VEHICLE - STOLEN,2024-03-03T00:00:00Z,STREET,Invest Cont,34.0462,-118.2585
VEHICLE - STOLEN,2024-01-17T00:00:00Z,STREET,Invest Cont,34.0461,-118.2395
VEHICLE - STOLEN,2024-03-08T00:00:00Z,STREET,Invest Cont,34.0416,-118.255
VEHICLE - STOLEN,2024-02-20T00:00:00Z,STREET,Invest Cont,34.0473,-118.2601
VEHICLE - ATTEMPT STOLEN,2024-01-13T00:00:00Z,STREET,Invest Cont,34.0357,-118.2663
VEHICLE - STOLEN,2024-02-19T00:00:00Z,STREET,Invest Cont,34.0569,-118.254
VEHICLE - STOLEN,2024-03-21T00:00:00Z,PARKING LOT,Invest Cont,34.0451,-118.2604
VEHICLE - ATTEMPT STOLEN,2024-03-05T00:00:00Z,PARKING UNDERGROUND/BUILDING,Invest Cont,34.058,-118.241
VEHICLE - STOLEN,2024-03-21T00:00:00Z,STREET,Invest Cont,34.0439,-118.2479
VEHICLE - STOLEN,2024-03-20T00:00:00Z,STREET,Invest Cont,34.0475,-118.2657
VEHICLE - STOLEN,2024-01-02T00:00:00Z,STREET,Invest Cont,34.0393,-118.2659
VEHICLE - STOLEN,2024-01-15T00:00:00Z,PARKING LOT,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-01-30T00:00:00Z,PARKING LOT,Invest Cont,34.043,-118.2606
VEHICLE - STOLEN,2024-01-10T00:00:00Z,STREET,Invest Cont,34.0363,-118.2604
VEHICLE - STOLEN,2024-02-12T00:00:00Z,STREET,Invest Cont,34.0454,-118.2658
VEHICLE - STOLEN,2024-03-24T00:00:00Z,PARKING LOT,Invest Cont,34.0475,-118.2657
VEHICLE - STOLEN,2024-02-07T00:00:00Z,PARKING LOT,Invest Cont,34.058,-118.241
VEHICLE - STOLEN,2024-01-22T00:00:00Z,CONSTRUCTION SITE,Invest Cont,34.0383,-118.2327
VEHICLE - STOLEN,2024-03-16T00:00:00Z,STREET,Invest Cont,34.0473,-118.2566
VEHICLE - STOLEN,2024-01-15T00:00:00Z,STREET,Adult Arrest,34.0433,-118.2488
VEHICLE - STOLEN,2024-03-19T00:00:00Z,STREET,Invest Cont,34.0404,-118.2504
VEHICLE - ATTEMPT STOLEN,2024-01-27T00:00:00Z,PARKING UNDERGROUND/BUILDING,Invest Cont,34.043,-118.2606
VEHICLE - STOLEN,2024-01-27T00:00:00Z,STREET,Invest Cont,34.0517,-118.2456
VEHICLE - STOLEN,2024-01-17T00:00:00Z,STREET,Invest Cont,34.0357,-118.2663
VEHICLE - STOLEN,2024-01-16T00:00:00Z,STREET,Invest Cont,34.0473,-118.2566
VEHICLE - STOLEN,2024-02-01T00:00:00Z,PARKING LOT,Invest Cont,34.0445,-118.2558
VEHICLE - ATTEMPT STOLEN,2024-03-01T00:00:00Z,STREET,Invest Cont,34.0485,-118.2326
VEHICLE - STOLEN,2024-02-28T00:00:00Z,STREET,Invest Cont,34.044,-118.2676
VEHICLE - STOLEN,2024-04-01T00:00:00Z,STREET,Invest Cont,34.0386,-118.2638
VEHICLE - STOLEN,2024-02-12T00:00:00Z,STREET,Adult Other,34.0305,-118.262
VEHICLE - STOLEN,2024-03-06T00:00:00Z,STREET,Adult Arrest,34.0421,-118.2469
VEHICLE - STOLEN,2024-02-26T00:00:00Z,STREET,Invest Cont,34.0349,-118.263
VEHICLE - STOLEN,2024-01-27T00:00:00Z,STREET,Invest Cont,34.0468,-118.2415
VEHICLE - STOLEN,2024-01-25T00:00:00Z,PARKING LOT,Invest Cont,34.042,-118.2625
VEHICLE - ATTEMPT STOLEN,2024-01-16T00:00:00Z,PARKING UNDERGROUND/BUILDING,Invest Cont,34.0612,-118.2417
VEHICLE - STOLEN,2024-03-12T00:00:00Z,STREET,Invest Cont,34.0641,-118.2455
VEHICLE - STOLEN,2024-01-14T00:00:00Z,STREET,Invest Cont,34.0491,-118.2414
VEHICLE - STOLEN,2024-03-10T00:00:00Z,STREET,Invest Cont,34.0445,-118.2558
VEHICLE - STOLEN,2024-02-07T00:00:00Z,STREET,Invest Cont,34.0458,-118.2614
